timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-09-23 00:00:00,3076.92000000,3078.81000000,3072.40000000,3072.40000000,415.53460000,1632355259999,1278188.15282900,698,146.22070000,449840.74191200,0
2021-09-23 00:01:00,3072.78000000,3074.12000000,3069.50000000,3070.28000000,441.98590000,1632355319999,1357631.92994800,657,83.85000000,257574.24277300,0
2021-09-23 00:02:00,3070.27000000,3084.00000000,3063.56000000,3083.89000000,1214.03300000,1632355379999,3729399.95982000,2515,644.55010000,1981015.51726500,0
2021-09-23 00:03:00,3083.89000000,3084.00000000,3067.40000000,3067.56000000,779.84460000,1632355439999,2399205.52087100,1628,220.96090000,679948.15785800,0
2021-09-23 00:04:00,3067.98000000,3068.35000000,3059.21000000,3063.11000000,474.68760000,1632355499999,1453702.09340400,896,224.70370000,688137.26957700,0
2021-09-23 00:05:00,3063.08000000,3063.86000000,3056.42000000,3056.86000000,256.06940000,1632355559999,783216.88538200,597,114.72570000,350831.51153700,0
2021-09-23 00:06:00,3056.53000000,3062.89000000,3055.68000000,3060.41000000,318.51590000,1632355619999,974700.41716100,645,186.85120000,571743.64848400,0
2021-09-23 00:07:00,3060.58000000,3072.32000000,3058.81000000,3068.10000000,1182.04260000,1632355679999,3621856.81361900,1107,1015.13450000,3109961.59344600,0
2021-09-23 00:08:00,3068.10000000,3074.41000000,3065.82000000,3071.48000000,333.16590000,1632355739999,1022773.11250600,693,114.73850000,352296.24707900,0
2021-09-23 00:09:00,3072.21000000,3082.47000000,3069.42000000,3081.00000000,449.15670000,1632355799999,1382154.09829500,973,295.93550000,910755.96249900,0
2021-09-23 00:10:00,3081.01000000,3096.55000000,3079.45000000,3095.74000000,2386.91220000,1632355859999,7375868.17667900,4413,1547.76610000,4783020.07007000,0
2021-09-23 00:11:00,3095.73000000,3096.16000000,3086.29000000,3093.36000000,600.41130000,1632355919999,1856249.74257900,2321,302.03440000,933801.00900300,0
2021-09-23 00:12:00,3093.36000000,3094.78000000,3084.14000000,3085.40000000,591.99720000,1632355979999,1827829.61592200,1020,182.91720000,564853.97579200,0
2021-09-23 00:13:00,3085.40000000,3090.60000000,3082.67000000,3084.00000000,502.74810000,1632356039999,1551060.20694600,797,267.57110000,825361.90337100,0
2021-09-23 00:14:00,3084.00000000,3089.76000000,3080.68000000,3080.95000000,631.35590000,1632356099999,1947367.23717600,648,212.34460000,655143.42382700,0
2021-09-23 00:15:00,3080.94000000,3082.42000000,3072.61000000,3073.06000000,455.65170000,1632356159999,1401558.75325200,1017,198.49640000,610475.63914500,0
2021-09-23 00:16:00,3073.06000000,3073.21000000,3061.37000000,3065.76000000,418.40780000,1632356219999,1283296.39517300,1208,149.76590000,459215.33628300,0
2021-09-23 00:17:00,3065.60000000,3071.41000000,3059.53000000,3067.01000000,963.57960000,1632356279999,2954971.80941800,1184,684.83290000,2100462.21270300,0
2021-09-23 00:18:00,3067.02000000,3069.97000000,3065.09000000,3066.70000000,300.90170000,1632356339999,923295.53581600,465,121.32030000,372275.82110500,0
2021-09-23 00:19:00,3066.98000000,3069.72000000,3065.72000000,3067.11000000,236.91620000,1632356399999,726664.98765900,380,107.32370000,329172.82043300,0
2021-09-23 00:20:00,3067.53000000,3069.84000000,3062.83000000,3065.45000000,288.77880000,1632356459999,885373.76886900,540,120.29130000,368892.50950200,0
2021-09-23 00:21:00,3066.10000000,3068.47000000,3064.33000000,3065.22000000,304.90600000,1632356519999,934901.05063500,455,167.27430000,512911.61188300,0
2021-09-23 00:22:00,3065.33000000,3069.37000000,3064.59000000,3066.70000000,229.82250000,1632356579999,704925.15598200,421,94.17230000,288834.44735400,0
2021-09-23 00:23:00,3066.61000000,3068.00000000,3065.24000000,3066.75000000,190.03840000,1632356639999,582803.20191800,321,115.21460000,353336.88466200,0
2021-09-23 00:24:00,3066.74000000,3068.25000000,3061.29000000,3062.02000000,258.26640000,1632356699999,791557.70908800,498,115.02290000,352617.55238300,0
2021-09-23 00:25:00,3061.80000000,3064.31000000,3058.70000000,3058.98000000,195.99490000,1632356759999,599945.89928500,447,85.12130000,260627.36333200,0
2021-09-23 00:26:00,3058.98000000,3061.79000000,3052.68000000,3058.96000000,780.70040000,1632356819999,2386928.07370700,1319,294.23260000,899370.29141200,0
2021-09-23 00:27:00,3058.97000000,3066.86000000,3058.97000000,3062.31000000,313.44140000,1632356879999,960109.22081500,547,186.68200000,571792.76182400,0
2021-09-23 00:28:00,3062.60000000,3063.82000000,3057.35000000,3061.67000000,312.05710000,1632356939999,954926.41327200,626,138.65950000,424272.42536400,0
2021-09-23 00:29:00,3060.79000000,3060.79000000,3052.82000000,3054.03000000,513.05920000,1632356999999,1567831.68876800,600,85.95840000,262729.81722000,0
2021-09-23 00:30:00,3054.02000000,3056.66000000,3051.26000000,3051.88000000,318.27940000,1632357059999,971782.48733100,626,128.24490000,391537.45397900,0
2021-09-23 00:31:00,3051.89000000,3056.25000000,3051.45000000,3054.41000000,258.03070000,1632357119999,787935.02366200,453,133.80800000,408589.09149800,0
2021-09-23 00:32:00,3054.42000000,3061.29000000,3053.57000000,3060.88000000,323.07960000,1632357179999,988217.37281400,570,204.43190000,625272.58361500,0
2021-09-23 00:33:00,3060.43000000,3067.29000000,3058.67000000,3066.51000000,291.24030000,1632357239999,892547.33779600,557,136.26590000,417523.81922000,0
2021-09-23 00:34:00,3066.25000000,3069.54000000,3063.89000000,3068.46000000,213.32080000,1632357299999,654220.32922300,466,133.61250000,409732.66342300,0
2021-09-23 00:35:00,3068.47000000,3075.48000000,3068.46000000,3074.60000000,604.68950000,1632357359999,1858630.46545000,755,325.94440000,1001912.52309700,0
2021-09-23 00:36:00,3074.60000000,3077.50000000,3073.50000000,3076.61000000,294.89190000,1632357419999,907111.24197700,483,150.44770000,462730.46080400,0
2021-09-23 00:37:00,3076.62000000,3078.57000000,3073.33000000,3075.89000000,293.63050000,1632357479999,903280.64189600,490,144.21150000,443651.67588800,0
2021-09-23 00:38:00,3075.89000000,3075.89000000,3061.69000000,3061.77000000,484.25740000,1632357539999,1486028.66694400,695,162.23220000,497657.74305900,0
2021-09-23 00:39:00,3062.13000000,3065.23000000,3059.04000000,3059.12000000,321.80610000,1632357599999,985365.37353300,564,133.46760000,408659.14838300,0
2021-09-23 00:40:00,3059.12000000,3060.88000000,3055.00000000,3055.93000000,221.98670000,1632357659999,678825.93359000,535,77.58090000,237214.21545800,0
2021-09-23 00:41:00,3055.47000000,3057.79000000,3053.45000000,3057.79000000,204.89700000,1632357719999,626120.74211300,467,84.65040000,258655.64768800,0
2021-09-23 00:42:00,3057.78000000,3059.73000000,3051.00000000,3051.00000000,367.88430000,1632357779999,1123466.24140500,554,85.70920000,261757.40177600,0
2021-09-23 00:43:00,3051.58000000,3058.45000000,3051.00000000,3058.45000000,90.77550000,1632357839999,277295.51097000,241,54.13620000,165356.18186400,0
2021-09-23 00:44:00,3058.34000000,3058.35000000,3053.42000000,3054.27000000,161.78840000,1632357899999,494442.95246500,294,58.91500000,180038.80168200,0
2021-09-23 00:45:00,3054.11000000,3057.32000000,3052.53000000,3054.04000000,172.34820000,1632357959999,526514.37976200,375,102.82920000,314134.98872300,0
